"id","year","Y","VA","K","L","M","I","naics3"
1098,1995,109313473.319577,49834618.6019262,2704415.33048583,928,57672591.3002773,3.98846580306951,"334"
1116,1974,7117654.17820155,899671.836358052,801287.485375695,51,5937339.45621159,0.169970072655451,"332"
1116,1975,3984810.79424438,858429.255770581,944639.442107167,60,2989523.2404613,0.0529061470187507,"332"
1116,1976,4294099.70683569,1171526.57374524,52906.1470187507,67,2931574.55880644,0.261634927630784,"332"
1116,1977,8037956.59101527,4794367.83456336,261634.927630784,110,3012866.04182395,0.578061245852454,"332"
1116,1978,14126107.4584152,7015871.47755558,578061.245852454,140,6608624.84653351,0.373523874489794,"332"
1116,1979,15796898.0501668,7059813.99585168,373523.874489794,140,8061465.05025434,0.557191102306491,"332"
1116,1980,25677497.3604756,9153784.96532845,557191.102306491,200,15145689.5496563,2.0305436988912,"332"
1116,1981,36155992.3911905,11306356.1112635,2030543.6988912,240,22622357.4097552,1.12961553439107,"332"
1116,1982,35163732.2208971,10276441.4181934,1129615.53439107,220,22905403.6636673,0.891354557752113,"332"
1116,1983,33120735.477373,9313397.80133505,891354.557752113,215,21763193.1787816,0.463564580917027,"332"
1116,1984,37953107.5309465,11180924.5658024,463564.580917027,255,24493217.3577475,1.24181843388757,"332"
1116,1985,25613765.6191602,13105612.1746447,1241818.43388757,325,11550176.3328908,0.814658169627415,"332"
1116,1986,33289736.1131543,6780720.31387406,814658.169627415,235,25260706.7226717,0.522203880242541,"332"
1116,1987,29162612.083884,9774265.86691744,522203.880242541,239,18257033.184207,1.37014098637221,"332"
1116,1988,21254093.8961009,6714818.15420441,1370140.98637221,200,13416739.969687,0.386816770935286,"332"
1116,1989,23957824.6105295,8343002.41096055,386816.770935286,207,14543571.8275948,0.357808767129108,"332"
1116,1990,20538092.259704,5166522.65791572,357808.767129108,151,14595733.2367633,0.280217721993582,"332"
1126,1973,50479940.3065027,25848044.7609139,4459271.21011108,541,23452361.3612916,0.937961253013734,"333"
1126,1974,30238550.28933,8432723.65122172,5310557.1255336,322,19539203.5376084,0.595948781356862,"333"
1126,1975,20754830.4854488,9147195.10269346,595948.781356862,341,10470585.9568106,0.349356448791005,"333"
1126,1976,21783045.2484505,12980184.1310284,349356.448791005,354,7926080.68367547,0.330657763324129,"333"
1126,1977,19268924.6468647,11584408.7133737,330657.763324129,326,6899857.80416401,0.37520128946772,"333"
1126,1978,16462256.5489272,10763545.1091125,375201.28946772,300,5148913.59904573,0.477709563796738,"333"
1126,1979,13101026.0821561,6007560.03923222,477709.563796738,200,6318496.85252853,0.178364235976463,"333"
1126,1980,8411768.5865065,2842126.29175353,178364.235976463,125,4967721.57713741,0.115067998106445,"333"
1126,1981,6824815.97779817,1934737.86730429,115067.998106445,105,4382151.40795266,0.11199733295434,"333"
1126,1982,8089563.34530619,3667393.04954127,111997.33295434,111,4019727.43429589,0.169143196713053,"333"
1126,1983,6453832.6002904,1167094.50349258,169143.196713053,71,4805354.80637208,0.146265297959206,"333"
1126,1984,3879402.22957951,1350978.99508286,146265.297959206,55,2281202.13985945,0.109733573715891,"333"
1126,1985,3368527.34789729,1253197.63710727,109733.573715891,45,1925794.25594347,0.109824853432698,"333"
1126,1986,3064126.38221901,1539465.391377,109824.853432698,41,1428859.85576151,0.0375199873402919,"333"
1126,1987,3128667.33536339,1725435.16856341,37519.9873402919,47,1310900.30018136,0.063744404770222,"333"
1126,1988,3994923.49400744,1572732.64226564,63744.404770222,34,2215318.31430615,0.0210111059956911,"333"
1137,1974,891527.063955197,547161.315827181,549223.681831484,132,1277848.94799464,0.221008929025282,"334"
1137,1975,1258902.14878227,561325.470089613,756494.406248027,96,2271965.07829244,0.287841192241648,"334"
1137,1976,898995.583862565,567927.671999065,287841.192241648,98,973958.117818432,0.0546799459690983,"334"
1137,1977,1252399.21113578,623447.170756969,54679.9459690983,137,1638911.77303001,0.0628925133953986,"334"
1137,1978,1972689.44113784,1069195.20694149,62892.5133953986,157,1991522.40640302,0.321111587654937,"334"
1137,1979,3271668.43671174,1819508.29202776,321111.587654937,194,2843412.74204158,0.758208114841398,"334"
1137,1980,5600718.3040051,3337765.95592131,758208.114841398,315,3901996.01512691,0.713945700355137,"334"
1137,1981,8826671.90538076,4852823.78851933,713945.700355137,396,6135102.1061065,0.364817694051681,"334"
1137,1982,12060991.3659502,6397415.39480151,364817.694051681,516,8520497.19928591,0.804463547567003,"334"
1137,1983,13650646.5483641,7241530.96115297,804463.547567003,508,8856162.83201661,0.823847058563452,"334"
1137,1984,24746909.7188373,13479977.8933696,823847.058563452,695,14893598.0187477,5.59723303216034,"334"
1137,1985,36628733.8201954,18898907.1169439,5597233.03216034,722,21982940.7760352,12.1684244807686,"334"
1137,1986,36846902.3132445,19636907.3258042,12168424.4807686,912,20825556.1800806,6.52048217746836,"334"
1137,1987,48982307.7899797,24666273.4573018,6520482.17746835,968,28045226.4058721,0.339146895561182,"334"
1137,1988,58516176.9802242,27249857.2767241,339146.895561182,924,34677465.8306151,1.45418367782778,"334"
1137,1989,48775185.6482801,23543083.3611243,1454183.67782778,742,27267931.0286542,1.54804270722915,"334"
1137,1990,65253141.6378758,32516170.2370883,1548042.70722915,859,34381970.44838,8.02433533629384,"334"
1137,1991,67802859.6435003,33142282.4971225,8024335.33629384,900,35824169.2231308,7.39794028922719,"334"
1137,1992,73843697.8685267,36226857.9764125,7397940.28922719,913,38381775.8273914,7.02786814458661,"334"
1137,1993,91254841.5110871,49394123.2692559,7027868.14458661,1081,42208006.1825676,9.57897301773702,"334"
1137,1994,122164053.440528,65487742.8764721,9578973.01773702,1407,56072162.8494007,10.4968461838836,"334"
1147,1974,11031880.3541519,7816965.23145063,2498929.32194218,212,3075513.20606179,0.233404709590144,"323"
1147,1975,10722102.3584754,5600300.92974784,2597215.24999474,150,4738897.7985719,0.0904238622077969,"323"
1147,1976,11914893.7267696,5963878.94035511,90423.8622077969,168,5505099.55583673,0.0408163267436029,"323"
1147,1977,11170603.5510465,8418142.1504154,40816.3267436029,230,2594049.63291369,0.138025469490028,"323"
1147,1978,11850123.1796144,8512157.4143647,138025.469490028,236,3184622.47126031,1.5508835247596,"323"
1147,1979,12668769.7628224,7919874.27853756,1550883.5247596,211,4426406.82769474,0.467383512278536,"323"
1147,1980,13229843.9705997,8736626.21730479,467383.512278536,243,4062437.38712814,0.557437964767929,"323"
1147,1981,14501883.8176123,8818859.3063766,557437.964767929,243,5137175.49152177,0.611665156488191,"323"
1147,1982,15234832.7165728,9690540.91761725,611665.156488191,251,5102988.92485437,0.606774098097983,"323"
1147,1983,17085060.7703012,11208603.2820696,606774.098097983,279,5460148.79696074,1.3433612892507,"323"
1147,1984,25849198.101103,17096119.3411504,1343361.2892507,425,8116189.23865522,1.65293718816945,"323"
1147,1985,29308075.7401707,18086331.7212898,1652937.18816945,413,10664141.8289832,4.65007261774985,"323"
1147,1986,40479860.8831223,28592337.2637864,4650072.61774985,653,11615866.4121357,3.72340026537881,"323"
1151,1983,8373277.95224374,2891182.3202764,558658.666878146,79,5121089.6621287,0.375454812557782,"339"
1151,1984,14480416.1050022,4475811.88845995,896291.680783777,102,9297918.12843451,1.77871188960716,"339"
